year	category	procedure	county	hospital	address	discharge_count	median_length_in_days	median_charge_per_stay
2007	Digestive Procedures	Colectomy Large Intestine (open)	Contra Costa	SUTTER DELTA MEDICAL CENTER	3901 LONE TREE WAY, ANTIOCH, 94509	13	8.0	73920
2007	Digestive Procedures	Colectomy Large Intestine (open)	Del Norte	SUTTER COAST HOSPITAL	800 EAST WASHINGTON BOULEVARD, CRESCENT CITY, 95531	10	6.5	43477
2007	Digestive Procedures	Colectomy Large Intestine (open)	El Dorado	BARTON MEMORIAL HOSPITAL	2170 SOUTH AVENUE, SOUTH LAKE TAHOE, 96150	15	5.0	62187
2007	Digestive Procedures	Colectomy Large Intestine (open)	El Dorado	MARSHALL  MEDICAL CENTER (1-RH)	1100 MARSHALL WAY, PLACERVILLE, 95667	46	5.0	67746
2007	Digestive Procedures	Colectomy Large Intestine (open)	Fresno	CLOVIS COMMUNITY MEDICAL CENTER	2755 HERNDON AVENUE, CLOVIS, 93612	58	5.0	34946
2007	Digestive Procedures	Colectomy Large Intestine (open)	Fresno	COMMUNITY REGIONAL MEDICAL CENTER-FRESNO	2823 FRESNO AND R STREETS, FRESNO, 93721	24	3.0	41776
2007	Digestive Procedures	Colectomy Large Intestine (open)	Fresno	FRESNO HEART AND SURGICAL HOSPITAL	15 E. Audubon Drive, FRESNO, 93720	13	4.0	27830
2007	Digestive Procedures	Colectomy Large Intestine (open)	Fresno	FRESNO SURGICAL HOSPITAL	6125 NORTH FRESNO STREET, FRESNO, 93710	1	3.0	28155
2007	Digestive Procedures	Colectomy Large Intestine (open)	Fresno	KAISER FND HOSP - FRESNO	7300 NORTH FRESNO STREET, FRESNO, 93720	70	5.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Fresno	ST. AGNES MEDICAL CENTER	1303 EAST HERNDON AVENUE, FRESNO, 93720	151	6.0	48649
2007	Digestive Procedures	Colectomy Large Intestine (open)	Fresno	UNIVERSITY MEDICAL CENTER	445 SOUTH CEDAR AVENUE, FRESNO, 93702	3	5.0	31929
2007	Digestive Procedures	Colectomy Large Intestine (open)	Humboldt	MAD RIVER COMMUNITY HOSPITAL	3800 JANES ROAD, ARCATA, 95521	31	5.0	22265
2007	Digestive Procedures	Colectomy Large Intestine (open)	Humboldt	REDWOOD MEMORIAL HOSPITAL	3300 RENNER DRIVE, FORTUNA, 95540	16	4.0	52867
2007	Digestive Procedures	Colectomy Large Intestine (open)	Humboldt	ST. JOSEPH HOSPITAL - EUREKA	2700 DOLBEER STREET, EUREKA, 95501	31	6.0	59340
2007	Digestive Procedures	Colectomy Large Intestine (open)	Imperial	EL CENTRO REGIONAL MEDICAL CENTER	1415 ROSS AVENUE, EL CENTRO, 92243	32	5.0	46902
2007	Digestive Procedures	Colectomy Large Intestine (open)	Imperial	PIONEERS MEMORIAL HOSPITAL	207 WEST LEGION ROAD, BRAWLEY, 92227	7	5.0	31497
2007	Digestive Procedures	Colectomy Large Intestine (open)	Inyo	NORTHERN INYO HOSPITAL	150 PIONEER LANE, BISHOP, 93514	6	6.0	73559
2007	Digestive Procedures	Colectomy Large Intestine (open)	Kern	BAKERSFIELD HEART HOSPITAL	3001 SILLECT AVENUE, BAKERSFIELD, 93308	5	6.0	31716
2007	Digestive Procedures	Colectomy Large Intestine (open)	Kern	BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET	420 - 34TH STREET, BAKERSFIELD, 93301	82	5.0	50483
2007	Digestive Procedures	Colectomy Large Intestine (open)	Kern	DELANO REGIONAL MEDICAL CENTER	1401 GARCES HIGHWAY, DELANO, 93215	18	4.0	29742
2007	Digestive Procedures	Colectomy Large Intestine (open)	Kern	KERN MEDICAL CENTER	1700 MOUNT VERNON AVENUE, BAKERSFIELD, 93306	6	11.0	63429
2007	Digestive Procedures	Colectomy Large Intestine (open)	Kern	MERCY HOSPITAL - BAKERSFIELD	2215 TRUXTUN AVENUE, BAKERSFIELD, 93301	32	5.0	51318
2007	Digestive Procedures	Colectomy Large Intestine (open)	Kern	RIDGECREST REGIONAL HOSPITAL	1081 NORTH CHINA LAKE BLVD., RIDGECREST, 93555	11	5.0	47210
2007	Digestive Procedures	Colectomy Large Intestine (open)	Kern	SAN JOAQUIN COMMUNITY HOSPITAL	2615 CHESTER AVENUE, BAKERSFIELD, 93301	51	5.0	67371
2007	Digestive Procedures	Colectomy Large Intestine (open)	Kings	HANFORD COMMUNITY MEDICAL CENTER	450 GREENFIELD AVENUE, HANFORD, 93230	27	8.0	67175
2007	Digestive Procedures	Colectomy Large Intestine (open)	Lake	ST. HELENA HOSPITAL - CLEARLAKE	15630 18TH AVE - HWY 53, CLEARLAKE, 95422	7	5.0	52518
2007	Digestive Procedures	Colectomy Large Intestine (open)	Lake	SUTTER LAKESIDE HOSPITAL	5176 HILL ROAD EAST, LAKEPORT, 95453	15	6.0	70187
2007	Digestive Procedures	Colectomy Large Intestine (open)	Lassen	BANNER LASSEN MEDICAL CENTER	1800 SPRING RIDGE DRIVE, SUSANVILLE, 96130	1	7.0	51854
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	ALHAMBRA HOSPITAL	100 SOUTH RAYMOND AVENUE, ALHAMBRA, 91801	20	6.0	33900
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	ANTELOPE VALLEY HOSPITAL	1600 WEST AVENUE J, LANCASTER, 93534	36	6.0	45498
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	BELLFLOWER MEDICAL CENTER	9542 EAST ARTESIA BOULEVARD, BELLFLOWER, 90706	6	7.5	76138
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	BEVERLY HOSPITAL	309 WEST BEVERLY BOULEVARD, MONTEBELLO, 90640	11	6.0	23635
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	BROTMAN MEDICAL CENTER	3828 DELMAS TERRACE, CULVER CITY, 90231	17	9.0	156827
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES	1401 SOUTH GRAND AVENUE, LOS ANGELES, 90015	5	6.0	62216
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	CEDARS SINAI MEDICAL CENTER	8700 BEVERLY BOULEVARD, LOS ANGELES, 90048	246	5.0	85898
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	CENTINELA HOSPITAL MEDICAL CENTER	555 EAST HARDY STREET, INGLEWOOD, 90301	30	5.5	98039
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	CENTURY CITY DOCTORS HOSPITAL	2070 CENTURY PARK EAST, LOS ANGELES, 90067	7	8.0	91193
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	CHILDREN'S HOSPITAL OF LOS ANGELES	4650 SUNSET BOULEVARD, LOS ANGELES, 90027	7	7.0	33387
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	CITRUS VALLEY MEDICAL CENTER - IC CAMPUS	210 W. SAN BERNARDINO ROAD, COVINA, 91723	19	7.0	45038
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	CITRUS VALLEY MEDICAL CENTER - QV CAMPUS	1115 SOUTH SUNSET AVENUE, WEST COVINA, 91790	22	6.0	46970
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL	1500 EAST DUARTE ROAD, DUARTE, 91010	58	6.0	53910
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	COAST PLAZA DOCTORS HOSPITAL	13100 SOUTH STUDEBAKER ROAD, NORWALK, 90650	3	9.0	149237
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	COMMUNITY HOSPITAL OF HUNTINGTON PARK	2623 EAST SLAUSON AVENUE, HUNTINGTON PARK, 90255	2	6.0	64529
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	DOWNEY REGIONAL MEDICAL CENTER	11500 BROOKSHIRE AVENUE, DOWNEY, 90241	48	6.0	47386
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	EARL AND LORRAINE MILLER CHILDRENS HOSPITAL	2801 ATLANTIC AVENUE, LONG BEACH, 90806	2	4.5	26332
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	EAST LOS ANGELES DOCTORS HOSPITAL	4060 WHITTIER BOULEVARD, LOS ANGELES, 90023	1	4.0	44794
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	EAST VALLEY HOSPITAL MEDICAL CENTER	150 WEST ROUTE 66, GLENDORA, 91740	2	9.5	113207
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL	250 SOUTH GRAND AVENUE, GLENDORA, 91741	20	6.0	38246
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	GARFIELD MEDICAL CENTER	525 NORTH GARFIELD AVENUE, MONTEREY PARK, 91754	39	6.0	69256
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE	1509 EAST WILSON TERRACE, GLENDALE, 91206	32	6.0	48814
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER	1420 SOUTH CENTRAL AVENUE, GLENDALE, 91204	49	5.0	57375
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	GOOD SAMARITAN HOSPITAL-LOS ANGELES	1225 WILSHIRE BOULEVARD, LOS ANGELES, 90017	33	6.0	52509
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	HENRY MAYO NEWHALL MEMORIAL HOSPITAL	23845 WEST MCBEAN PARKWAY, VALENCIA, 91355	17	5.0	75838
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD	6245 DE LONGPRE AVENUE, HOLLYWOOD, 90028	3	11.0	50736
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	HOLLYWOOD PRESBYTERIAN MEDICAL CENTER	1300 NORTH VERMONT AVENUE, LOS ANGELES, 90027	1	2.0	50137
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	HUNTINGTON MEMORIAL HOSPITAL	100 W. CALIFORNIA BOULEVARD, PASADENA, 91105	94	5.0	51064
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	KAISER FND HOSP - BALDWIN PARK	1011 BALDWIN PARK BLVD., BALDWIN PARK, 91706	82	5.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	KAISER FND HOSP - BELLFLOWER	9400 EAST ROSECRANS AVENUE, BELLFLOWER, 90706	71	3.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	KAISER FND HOSP - PANORAMA CITY	13652 CANTARA STREET, PANORAMA CITY, 91402	105	4.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	KAISER FND HOSP - SOUTH BAY	25825 SOUTH VERMONT AVENUE, HARBOR CITY, 90710	120	5.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	KAISER FND HOSP - SUNSET	4867 SUNSET BOULEVARD, LOS ANGELES, 90027	83	3.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	KAISER FND HOSP - WEST LA	6041 CADILLAC AVENUE, LOS ANGELES, 90034	52	2.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	KAISER FND HOSP - WOODLAND HILLS	5601 DE SOTO AVENUE, WOODLAND HILLS, 91367	113	4.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	KINDRED HOSPITAL - LOS ANGELES	5525 WEST SLAUSON AVENUE, LOS ANGELES, 90056	1	64.0	399639
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	LAC+USC MEDICAL CENTER	1200 NORTH STATE STREET, LOS ANGELES, 90033	58	6.0	36492
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	LAC/HARBOR-UCLA MEDICAL CENTER	1000 WEST CARSON STREET, TORRANCE, 90502	26	7.0	71769
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	LAKEWOOD REGIONAL MEDICAL CENTER	3700 EAST SOUTH STREET, LAKEWOOD, 90712	8	8.0	87894
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	LANCASTER COMMUNITY HOSPITAL	43830 NORTH 10TH STREET WEST, LANCASTER, 93534	17	6.0	56935
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	LONG BEACH MEMORIAL MEDICAL CENTER	2801 ATLANTIC AVENUE, LONG BEACH, 90806	108	5.0	36776
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	LOS ANGELES COMMUNITY HOSPITAL	4081 EAST OLYMPIC BOULEVARD, LOS ANGELES, 90023	1	10.0	64831
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER	14445 OLIVE VIEW DRIVE, SYLMAR, 91342	21	5.0	34575
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	LOS ANGELES METROPOLITAN MEDICAL CENTER	2231 SOUTH WESTERN AVENUE, LOS ANGELES, 90018	2	16.0	240728
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	MARINA DEL REY HOSPITAL	4650 LINCOLN BOULEVARD, MARINA DEL REY, 90291	13	4.0	81377
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	MARTIN LUTHER KING JR.-HARBOR HOSPITAL	12021 WILMINGTON AVENUE, LOS ANGELES, 90059	4	8.5	85436
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	MEMORIAL HOSPITAL OF GARDENA	1145 W. REDONDO BEACH BLVD., GARDENA, 90247	7	13.0	108423
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	METHODIST HOSPITAL OF SOUTHERN CALIFORNIA	300 WEST HUNTINGTON DRIVE, ARCADIA, 91007	43	5.0	34705
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS	14850 ROSCOE BOULEVARD, PANORAMA CITY, 91402	5	5.0	24247
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	MONTEREY PARK HOSPITAL	900 SOUTH ATLANTIC BOULEVARD, MONTEREY PARK, 91754-4780	14	7.0	98250
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	NORTHRIDGE HOSPITAL MEDICAL CENTER	18300 ROSCOE BOULEVARD, NORTHRIDGE, 91328	29	7.0	94802
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	OLYMPIA MEDICAL CENTER	5900 WEST OLYMPIA BLVD, LOS ANGELES, 90036	6	7.0	132774
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	PACIFIC ALLIANCE MEDICAL CENTER, INC.	531 WEST COLLEGE STREET, LOS ANGELES, 90012	4	16.5	85216
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	PACIFIC HOSPITAL OF LONG BEACH	2776 PACIFIC AVENUE, LONG BEACH, 90806	1	11.0	103523
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	POMONA VALLEY HOSPITAL MEDICAL CENTER	1798 NORTH GAREY AVENUE, POMONA, 91767	62	5.0	50282
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	PRESBYTERIAN INTERCOMMUNITY HOSPITAL	12401 EAST WASHINGTON BLVD., WHITTIER, 90602	56	5.0	79880
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	PROMISE HOSPITAL OF EAST LOS ANGELES-EAST L.A. CAMPUS	443 SOUTH SOTO STREET, LOS ANGELES, 90033	2	45.5	347746
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	PROVIDENCE HOLY CROSS MEDICAL CENTER	15031 RINALDI STREET, MISSION HILLS, 91345	52	5.0	65094
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO	1300 WEST SEVENTH STREET, SAN PEDRO, 90732	10	5.0	51824
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE	4101 TORRANCE BOULEVARD, TORRANCE, 90503	63	5.0	51381
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	PROVIDENCE SAINT JOSEPH MEDICAL CENTER	501 SO. BUENA VISTA, BURBANK, 91505-4866	99	6.0	66668
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	PROVIDENCE TARZANA MEDICAL CENTER	18321 CLARK STREET, TARZANA, 91356	31	7.0	96034
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	RONALD REAGAN UCLA MEDICAL CENTER	757 WESTWOOD PLAZA, LOS ANGELES, 90095	82	5.0	37504
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	SAN DIMAS COMMUNITY HOSPITAL	1350 WEST COVINA BOULEVARD, SAN DIMAS, 91773	10	4.0	63898
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	SAN GABRIEL VALLEY MEDICAL CENTER	438 W. LAS TUNAS DRIVE, SAN GABRIEL, 91776	22	5.0	68252
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	SANTA MONICA - UCLA MEDICAL CENTER & ORTHOPAEDIC HOSPITAL	1250 16TH STREET, SANTA MONICA, 90404	21	7.0	43346
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	SHERMAN OAKS HOSPITAL	4929 VAN NUYS BOULEVARD, SHERMAN OAKS, 91403	2	4.5	46845
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	ST. FRANCIS MEDICAL CENTER	3630 IMPERIAL HIGHWAY, LYNWOOD, 90262	18	7.0	62424
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	ST. JOHN'S HEALTH CENTER	2121 Santa Monica Blvd, SANTA MONICA, 90404	122	4.0	46514
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	ST. MARY MEDICAL CENTER	1050 LINDEN AVENUE, BOX 887, LONG BEACH, 90801	13	6.0	65664
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	ST. VINCENT MEDICAL CENTER	2131 WEST 3RD STREET, LOS ANGELES, 90057	35	5.0	38750
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	TEMPLE COMMUNITY HOSPITAL	235 NORTH HOOVER STREET, LOS ANGELES, 90004	4	11.5	86283
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	TORRANCE MEMORIAL MEDICAL CENTER	3330 WEST LOMITA BOULEVARD, TORRANCE, 90505-5073	127	5.0	49745
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	TRI-CITY REGIONAL MEDICAL CENTER	21530 SOUTH PIONEER BOULEVARD, HAWAIIAN GARDENS, 90716	1	27.0	489563
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	USC KENNETH NORRIS, JR. CANCER HOSPITAL	1441 EASTLAKE AVENUE, LOS ANGELES, 90033	27	6.0	50193
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	USC UNIVERSITY HOSPITAL	1500 SAN PABLO STREET, LOS ANGELES, 90033	26	7.5	141796
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	VALLEY PRESBYTERIAN HOSPITAL	15107 VAN OWEN STREET, VAN NUYS, 91405	18	7.0	55956
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	VERDUGO HILLS HOSPITAL	1812 VERDUGO BOULEVARD, GLENDALE, 91208	23	5.0	29262
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	WEST HILLS HOSPITAL AND MEDICAL CENTER	7300 MEDICAL CENTER DRIVE, CANOGA PARK, 91307	56	6.0	75722
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	WHITE MEMORIAL MEDICAL CENTER	1720 CESAR E. CHAVEZ AVENUE, LOS ANGELES, 90033	19	5.0	49300
2007	Digestive Procedures	Colectomy Large Intestine (open)	Los Angeles	WHITTIER HOSPITAL MEDICAL CENTER	9080 COLIMA ROAD, WHITTIER, 90605	16	6.0	67708
2007	Digestive Procedures	Colectomy Large Intestine (open)	Madera	CHILDREN'S HOSPITAL CENTRAL CALIFORNIA	9300 VALLEY CHILDREN'S PLACE, MADERA, 93638	3	4.0	24344
2007	Digestive Procedures	Colectomy Large Intestine (open)	Madera	MADERA COMMUNITY HOSPITAL	1250 EAST ALMOND AVENUE, MADERA, 93637	21	6.0	26141
2007	Digestive Procedures	Colectomy Large Intestine (open)	Marin	KAISER FND HOSP - SAN RAFAEL	99 MONTECILLO ROAD, SAN RAFAEL, 94903	50	4.0	0
2007	Digestive Procedures	Colectomy Large Intestine (open)	Marin	MARIN GENERAL HOSPITAL	250 BON AIR ROAD, GREENBRAE, 94904	25	6.0	86165
2007	Digestive Procedures	Colectomy Large Intestine (open)	Marin	NOVATO COMMUNITY HOSPITAL	180 ROLAND WAY, NOVATO, 94945	25	5.0	86552
2007	Digestive Procedures	Colectomy Large Intestine (open)	Mendocino	FRANK R HOWARD MEMORIAL HOSPITAL	1 MADRONE STREET, WILLITS, 95490	9	7.0	75171
2007	Digestive Procedures	Colectomy Large Intestine (open)	Mendocino	MENDOCINO COAST DISTRICT HOSPITAL	700 RIVER DRIVE, FORT BRAGG, 95437	11	7.0	40640
2007	Digestive Procedures	Colectomy Large Intestine (open)	Mendocino	UKIAH VALLEY MEDICAL CENTER/HOSPITAL DRIVE	275 HOSPITAL DRIVE, UKIAH, 95482	17	5.0	58868
2007	Digestive Procedures	Colectomy Large Intestine (open)	Merced	MEMORIAL HOSPITAL LOS BANOS	520 WEST I STREET, LOS BANOS, 93635	3	8.0	77190
2007	Digestive Procedures	Colectomy Large Intestine (open)	Merced	MERCY MEDICAL CENTER - MERCED	333  MERCY AVENUE, MERCED, 95340	46	6.0	59789
2007	Digestive Procedures	Colectomy Large Intestine (open)	Mono	MAMMOTH HOSPITAL	85 SIERRA PARK ROAD, MAMMOTH LAKES, 93546	3	2.0	46049
2007	Digestive Procedures	Colectomy Large Intestine (open)	Monterey	COMMUNITY HOSPITAL MONTEREY PENINSULA	23625 W. R. HOLMAN HIGHWAY, MONTEREY, 93940	68	4.0	64978
