id,heading,body,price,neighborhood,external_url,timestamp,created_at,updated_at
12,LOOK AT THIS STUNNING 1.5BR--PLENTY OF SUNLIGHTMODERN KITCHEN/YARD,"
 BEAUTIFUL HIGH END 1 BR OFFICE SPACE IN CLINTON HILL
High End Kitchen with Stainless Steel Appliances
Great Shiny Hardwood floors throughout the whole apartment
Large comfy Living room with lots of Sunlight
Great BACKYARD
Huge Bedroom plus A Office space with Windows and closets
Nice Light fixtures
GREAT LOCATION
Close to Great Groceries, Bars, Cafe`s, Laundromats, and much more...
FOR A VIEWING CALL MARK AT
~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~
MARK05FEB2015ADS
 ",2100,USA-NYM-FOT,http://newyork.craigslist.org/brk/abo/4878451279.html,1424817877,2015-02-25 17:16:57.835338,2015-02-25 17:16:57.835338
13,LIVING LARGE 2BR IN CROWN HTS,"
 EXTRA LARGE 2BR IN CROWN HTS! HUGE PREWAR APT/ELEVATOR BLDG WITH HIGH CEILINGS, PARQUET FLRS! BRAND NEW EIK/UPDATED BATH. GREAT CLOSET SPACE AND AMAZING EXPOSURES!
Close to Crwn Hts-Utica Ave 3-4-5
AVAILABLE AND SHOWING NOW! CALL/TEXT: 718.757.2490
 ",1575,,http://newyork.craigslist.org/brk/fee/4906161968.html,1424818757,2015-02-25 17:16:58.013438,2015-02-25 17:16:58.013438
14,SEE THIS ASTOUNDING 2BRCENTRAL H/AC-SUPER HIGH CEILING-SUNNY AREA,"
 SUPER AMAZING HIGH END 2 BR NEXT TO THE ""L"" TRAIN AT DEKALB STOP
High end modern Kitchen with granite counter tops
Great Stainless steel Appliances
2 Large Bedrooms with Windows windows and closets
Shiny Hardwood floors throughout the whole apartment
Large and Sunny Living area with Modern Light Fixtures and Exposed brick wall
Super high Ceilings
Central H/AC
Modern Bathroom with deep Bathtub
________GREAT LOCATION______
Close to Groceries, Great Bars, Cafe`s, Marie Hernandez Park, and much more...
THIS PLACE IS TRULY AMAZING AND WON`T LAST LONG!!!
FOR A VIEWING CALL MARK AT
~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~!!~~~~~~~~~~~~
MARK05FEB2015ADS
 ",2500,USA-NYM-BUH,http://newyork.craigslist.org/brk/abo/4878446073.html,1424817882,2015-02-25 17:16:58.147532,2015-02-25 17:16:58.147532
15,GORGEOUS 2BRCENTRAL H/ACSUPER HIGH CEILINGHUGE LIVING AREA,"
 SUPER AMAZING HIGH END 2 BR NEXT TO THE ""L"" TRAIN AT DEKALB STOP
State -Of -The -Art modern Kitchen with granite counter tops.............Stainless steel Appliances .............2 Large Bedrooms with Windows windows and closets.............Shiny Hardwood floors throughout the whole apartment.............Huge and Sunny Living area with Modern Light Fixtures and Exposed brick wall.............Super high Ceilings.............Central H/AC.............Modern Bathroom with deep Bathtub.............
________GREAT LOCATION______
Close to Groceries, Great Bars, Cafe`s, Marie Hernandez Park, and much more...
THIS PLACE IS TRULY AMAZING AND WON`T LAST LONG!!!
By Owner No Fee!!!
For a Viewing call Harry at -3-4-7--4-3-3--5155
_+_+_+_+_++_+_+_+_+_+_+_
HARRYFEB042015POSTING
 ",2500,USA-NYM-BUH,http://newyork.craigslist.org/brk/abo/4877702049.html,1424817902,2015-02-25 17:16:58.280627,2015-02-25 17:16:58.280627
16,Gorgeous 2-bed off Lewis Ave, BedStuys prime commercial corridor,"
 Exquisite 2-bedroom/1-bathroom apartment located on the 2nd floor of a new, walk-up building on Hancock and Lewis Ave. This is a brand new, renovated apartment with stainless steel appliances, interesting woodwork, a modern bathroom with a bathtub and luxury massage shower head, hardwood floors, an island counter plus loads of sunlight.
The located is stellar! The best location in BedStuy! Right off Lewis Ave. and around the corner from Saraghina, a 4-star dining experience. There is a fresh, local produce market with everything you`d want for a block away, too. The Utica A/C trains are nearby, too. A really amazing `hood!
This is listed as a 2-bedroom apartment because the landlord will build a wall in the apartment you see featured in the photos, however, that wall isn`t in place yet.
Details:
-Individual heating and cooling units in all rooms
-Laundry in building
-No Fee
-Available Now
-First/Security
-Utilities Separate
-Pets OK
Call or text Myles at
to set up a showing.
__
bedstuy, stuyvesant heights, lewis ave
 ",2399,USA-NYM-BDS,http://newyork.craigslist.org/brk/abo/4895197944.html,1424818263,2015-02-25 17:16:58.391706,2015-02-25 17:16:58.391706
17,MAGNIFICENT NEW 4BR2 FULL BATHSHUGE ROOMSPLENTY OF SUNLIGHT,"
 BEAUTIFUL NEW 4 BEDROOM APARTMENT CLOSE TO THE ""L"" TRAIN AT WILSON STOP
Nice Kitchen with Appliances
Enormous Living With Abundant Sunlight
4 Spacious Bedrooms with windows and closets
Shiny Hardwood floors Throughout the whole apartment
2 Fully tiled Bathroom.
THIS PLACE IS AN AWESOME DEAL AND WON`T LAST LONG!!!
NO BROKER FEE!!!
FOR A VIEWING CALL HARRY AT 3-4-7--4-3-3--5-1-5-5
SCHAEFER WILSON
&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;
HARRY05FEB2015ADS
 ",2700,USA-NYM-BUH,http://newyork.craigslist.org/brk/abo/4878462668.html,1424817908,2015-02-25 17:16:58.523799,2015-02-25 17:16:58.523799
18,LUXURY 1BR - NO FEE - PRIME WILLIAMSBURG,"
 Contact info: Jon Spiegler | MGMT |
 69 Ten Eyck St 69 Ten Eyck St #1B, Brooklyn, NY 11206 $2,800/mo KEY FEATURES Bedrooms: 1 Bed Bathrooms: 1 Bath Lease Duration: 1 Year (See Details Below) Deposit: $500 Pets Policy: Cats &amp; Dogs OK Laundry: Shared Property Type: Apartment DESCRIPTION Live in the center of Williamsburg! Minutes away from the L G trains! NO FEE, ONE MONTH FREE WITH 18 MONTH LEASE!
Plenty of natural light in this spacious 1BR with a large eat in kitchen, TONS of closet space, luxurious bath, laundry in building.
Spacious enough for a couple.
This apartment just hit the market and won&amp;rsquo;t last, call or text management to set up a time to view.
Please have good income and credit. Guarantors accepted. RENTAL FEATURES Range / Oven Stainless steel appliances Cable-ready Hardwood floor COMMUNITY FEATURES New property Secured entry Near transportation LEASE TERMS $50 Credit Check / Application Fee PER Applicant. Contact info: Jon Spiegler MGMT
 ",2800,USA-NYM-WIU,http://newyork.craigslist.org/brk/abo/4901656925.html,1424818140,2015-02-25 17:16:58.646894,2015-02-25 17:16:58.646894
19,Lefferts Garden vic,"
 Leffert`s Garden Vic.near Nostrand ave.1 Bedroom ground floor.near Subway and shopping
Mr Steele 646 345 7936 - 718 604 7800
 ",1250,,http://newyork.craigslist.org/brk/fee/4906158556.html,1424818547,2015-02-25 17:16:58.779988,2015-02-25 17:16:58.779988
20,BRILLIANT 2 BRHUGE  COMFY LIVING AREASHINY FLRAMAZING KITCHEN,"
 BEAUTIFUL LUXURIOUS 2 BEDROOM APARTMENT
GORGEOUS KITCHEN WITH STAINLESS STEEL APPLIANCES
2 ENORMOUS BEDROOMS WITH WINDOWS AND CLOSETS
SPACIOUS COMFY LIVING AREA
MODERN BATHROOM
SHINY HARDWOOD FLOORS
CLOSE TO THE ""JZ"" AT GATES STOP AND THE ""LM"" AT MYRTLE WYCKOFF STOP
NO BROKER FEE!!!
FOR A VIEWING CALL HARRY AT 3-4-7--4-3-3--5-1-5-5
CENTRAL AVE LINDEN ST
&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;
HARRY05FEB2015ADS
 ",1900,USA-NYM-BUH,http://newyork.craigslist.org/brk/abo/4878482547.html,1424817888,2015-02-25 17:16:58.902068,2015-02-25 17:16:58.902068
21,GIAGANTIC SPACE 2BR BRAND NEW WITH PRIVATE YARD-KING SIZE-AC TRAIN,"
 Marion st &amp;amp; Ralph ave
 Brand new high end 2br massive space apt with Private backyard
 Big&amp;nbsp; King size&amp;nbsp; bed rooms with closet space and windows
 Fully loaded s.s applinces kitchen with dishwasher and microwave
 Huge living area with tons of light ,Marble bathroom with tub ,central air
 Located close to bars ,coffee places and more ,The A,C TRAIN
 Good credit -guarantors welcome-pets friendly
 Call /Text
Erik
 ",2295,USA-NYM-WIU,http://newyork.craigslist.org/brk/abo/4906106738.html,1424816471,2015-02-25 17:16:59.035162,2015-02-25 17:16:59.035162
22,ADMIRABLE DUPLEX 3 BEDROOM1.5BATHSUNNY AREABACKYARDLOOK,"
 WONDERFUL LOVELY DUPLEX 3 BEDROOM APARTMENT NEXT TO THE L TRAIN AT DEKALB STOP
***AMAZING HIGH END DUPLEX APARTMENT
***STATE -OF-THE ART MODERN KITCHEN
***WITH STAINLESS STEEL APPLIANCES INCLUDING A DISHWASHER
***SPACIOUS BEDROOMS WITH WINDOWS AND CLOSETS
***GORGEOUS BACKYARD
***1.5 BATHS
***HARDWOOD FLOORS
***MODERN LIGHT FIXTURES
GREAT LOCATION
CLOSE TO GREAT SUPERMARKETS,BARS,CAFE`S,MARIE HERNANDEZ PARK AND MUCH MORE...
NO BROKER FEE!!!
FOR A VIEWING CALL HARRY AT
&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;&bull;&amp;#9688;
HARRY05FEB2015ADS
 ",3200,USA-NYM-BUH,http://newyork.craigslist.org/brk/abo/4878477129.html,1424817887,2015-02-25 17:16:59.213292,2015-02-25 17:16:59.213292
23,Crown Heights Duplex No Fee,"
 Contact info: Jon Spiegler | MGMT |
 1319 St Johns Pl 1319 Saint Johns Pl #1L, Brooklyn, NY 11213 $3,500/mo KEY FEATURES Year Built: 1903 Bedrooms: 3 Beds Bathrooms: 1.5 Baths Parking: None Lease Duration: 1 Year (See Details Below) Deposit: $500 Pets Policy: Cats &amp; Dogs OK Laundry: Shared Floor: 1st Property Type: Apartment DESCRIPTION Recently rennovated building offering laundry, video intercoms, and brand new appliances! Blocks to the 3,4 Trains. RENTAL FEATURES Living room Dining room Family room Pantry Office Basement Recreation room Range / Oven Refrigerator Dishwasher Stainless steel appliances Central A/C Cable-ready Intercom system Hardwood floor COMMUNITY FEATURES Vintage building On-street parking LEASE TERMS $50 credit check / application fee PER applicant. Please have good credit or a guarantor. Contact info: Jon Spiegler MGMT
 ",3500,USA-NYM-BDS,http://newyork.craigslist.org/brk/abo/4900247956.html,1424818178,2015-02-25 17:16:59.346384,2015-02-25 17:16:59.346384
24,Gran lujo 1BR Gimnasio Lavandera con consejera cubierta,"
 A Wonderful 1 dormitorio y vistas de privilegio en Greenpoint Norte Brooklyn. Este alquiler tiene todo lo que usted pide en serio. Las cocinas cuentan con acero inoxidable de alta gama y electrodom&eacute;sticos con calificaci&oacute;n Energy Star, encimeras de cuarzo. Lavavajillas y microondas en cada apartamento. El ba&ntilde;o cuenta con accesorios elegantes, encimeras de cuarzo, duchas con baldosas de metro. Arandelas de tama&ntilde;o completo y secador en muchas habitaciones apartments.Laundry en cada piso. (S&iacute;, has le&iacute;do bien) Este edificio verde es LEED Certified tiene cancelaci&oacute;n de ruido ventanas. La zona es ciclista amistoso con un mont&oacute;n de caminos en bicicleta a lo largo. Varios modos de transporte de estar cerca del metro, tres l&iacute;neas de autob&uacute;s y ferry. Cuando se calienta incluso se puede caminar por el puente Pulaski por el pie y la cabeza a Queens. El barrio cuenta con uno de la mejor vida nocturna en Brooklyn con bares y restaurantes. El edificio es un dise&ntilde;o de la posguerra que se mezcla muy bien con algunos de los hist&oacute;ricos edificios industriales vecinos. Adem&aacute;s, est&aacute;s cerca de Williamsburg, Long Island City, Bushwick, Union Square y Midtown menos de 15 minutos
Grandes instalaciones son sala de bicicletas . Garaje . Courtyard . Sala de fitness . Sal&oacute;n ,
Azotea ajardinada terraza con una con unas vistas preciosas de Manhattan y de Brooklyn .
Instalaciones del &aacute;rea de trabajo , incluyendo sala de conferencias, estaciones de ordenador , Wi-Fi de alta velocidad, y la impresi&oacute;n de punto de acceso
De alta velocidad Wi-Fi gratuito en todas las zonas comunes interiores y exteriores.
Me numbero es 347-497-2429 Llame para ver esta apt. Yo vivo en la zona o en mejores palabras que soy residente de toda la vida en la zona, as&iacute; que totalmente s&eacute; lo que estoy hablando!
 ",2796,,http://newyork.craigslist.org/brk/nfb/4906163422.html,1424818748,2015-02-25 17:16:59.468470,2015-02-25 17:16:59.468470
25,Beautiful New 2BR - NO FEE,"
 Contact info: Jon Spiegler | MGMT |
 74 Maujer St 74 Maujer St #2E, Brooklyn, NY 11206 $3,200/mo KEY FEATURES Year Built: 2014 Bedrooms: 2 Beds Bathrooms: 1 Bath Lease Duration: 1 Year (See Details Below) Deposit: $500 Pets Policy: Cats &amp; Dogs OK Laundry: Shared Floor: 2 Property Type: Apartment DESCRIPTION The best of Williamsburg luxury for no fee! Spacious 2BR in recent, modern construction. Top of the line amenities include:
central air
stainless steel appliances
video intercom security
stylish lobby
gigantic shared rooftop with breathtaking views of the skyline
Laundry in Building
Cable and high speed internet ready
 Mere blocks to the L and G trains.
Please be working with good credit or a guarantor. RENTAL FEATURES Living room Dining room Master bath Stainless steel appliances Balcony, Deck, or Patio Cable-ready Hardwood floor COMMUNITY FEATURES New property LEASE TERMS $50 Credit Check / Application fee PER applicant. Contact info: Jon Spiegler MGMT
 ",3200,USA-NYM-WIU,http://newyork.craigslist.org/brk/abo/4900419770.html,1424818152,2015-02-25 17:16:59.601592,2015-02-25 17:16:59.601592
26,Prettiest unit in the building Heathot incl SO BIG WOW REALPICS,"
 Such a beautiful 3-bedroom/1-bathroom apartment located on the first floor of a gorgeous prewar on Pacific between Franklin and Rogers. Really cool parquette floors here and a shit-ton of exposed brick! Super short trip to the Franklin 2/3/4/5 and even closer to the Nostrand A/C! Great-sized bedrooms and tons of closet space! One bedroom has access to the shared yard.
The Details:
-Heat and Hot Water Included
-Available Now
-No Fee
-No Pets
-First/Last/Security
Call or text Myles at
to see this place ASAP!
Trains:
-Nostrand A/C
-Franklin 2/3/4/5
__
prospect heights, crown heights, prospect park
 ",2650,USA-NYM-FOT,http://newyork.craigslist.org/brk/abo/4875264084.html,1424818300,2015-02-25 17:16:59.724652,2015-02-25 17:16:59.724652
27,Gorgeous 2-bed off Lewis Ave Laundry in bldg Massage shower head,"
 Exquisite 2-bedroom/1-bathroom apartment located on the 2nd floor of a new, walk-up building on Hancock and Lewis Ave. This is a brand new, renovated apartment with stainless steel appliances, interesting woodwork, a modern bathroom with a bathtub and luxury massage shower head, hardwood floors, an island counter plus loads of sunlight.
The located is stellar! The best location in BedStuy! Right off Lewis Ave. and around the corner from Saraghina, a 4-star dining experience. There is a fresh, local produce market with everything you`d want for a block away, too. The Utica A/C trains are nearby, too. A really amazing `hood!
This is listed as a 2-bedroom apartment because the landlord will build a wall in the apartment you see featured in the photos, however, that wall isn`t in place yet.
Details:
-Individual heating and cooling units in all rooms
-Laundry in building
-No Fee
-Available Now
-First/Security
-Utilities Separate
-Pets OK
Call or text Myles at
to set up a showing.
__
bedstuy, stuyvesant heights, lewis ave
 ",2399,USA-NYM-BDS,http://newyork.craigslist.org/brk/abo/4895209409.html,1424818275,2015-02-25 17:16:59.857774,2015-02-25 17:16:59.857774
