name,ticker_symbol,sector,city,state,date,open,high,low,close,volume,closing_price
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-12,6.85,7.1,6.81,7.05,286856000,7.05
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-12,7.49,7.71,7.13,7.19,298997800,7.18
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-08,7.38,7.44,7.2,7.2,204593600,7.2
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-27,7.11,7.23,6.9,7.22,408534400,7.22
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-16,7.38,7.39,7.08,7.23,240523700,7.23
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-11,7.1,7.42,6.96,7.25,344079000,7.24
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-02,7.31,7.45,7.17,7.25,305988600,7.25
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-15,7.18,7.34,7.13,7.33,230299700,7.33
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-10-28,7.08,7.43,7.05,7.35,272853300,7.35
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-16,7.61,7.66,7.34,7.4,275997300,7.39
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-17,7.46,7.59,7.4,7.46,159346200,7.45
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-07,7.23,7.52,7.1,7.48,257251800,7.48
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-09,7.02,7.66,6.68,7.6,496094500,7.59
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-25,8.29,8.8,7.38,7.65,859643400,7.64
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-26,7.62,7.98,7.45,7.76,424194600,7.75
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-15,7.46,7.84,7.35,7.76,268370400,7.75
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-09-01,8.18,8.18,7.91,7.91,243549600,7.91
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-30,8.29,8.39,8.05,8.12,297220400,8.11
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-05,8.97,9.05,8.03,8.17,546781600,8.16
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-31,8.28,8.29,8.11,8.17,282263500,8.17
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-29,8.1,8.41,7.96,8.39,363420500,8.38
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-04,9.37,9.46,8.77,8.83,305309300,8.82
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-02,9.76,9.86,9.47,9.49,173972600,9.48
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-03,9.49,9.59,9.32,9.54,175691200,9.53
Bank of America Corp,BAC,Financials,Charlotte,North Carolina,2011-08-01,10.04,10.05,9.7,9.81,159616700,9.8
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-03,30.79,31.18,30.21,30.22,2185500,30.22
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-23,31.08,31.58,30.84,30.95,1479700,30.95
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-30,31.29,31.67,30.86,31.02,1736600,31.02
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-22,31.99,31.99,30.92,31.26,2118500,31.26
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-28,32.23,32.31,31.26,31.28,1451600,31.28
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-26,31.31,31.49,30.67,31.45,1537300,31.45
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-04,29.8,31.52,29.69,31.5,3291600,31.5
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-29,31.92,32.08,30.97,31.61,1384600,31.61
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-05,31.61,32.09,31.31,31.69,2115800,31.69
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-27,32.2,32.8,31.99,32.16,2073200,32.16
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-07,32.84,32.86,32.06,32.45,1841200,32.45
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-06,31.48,32.54,31.3,32.52,1912400,32.52
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-08,34.63,35.16,32.7,32.72,3656400,32.72
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-21,33.43,33.67,32.74,32.77,1991800,32.77
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-10,33.02,33.34,32.87,33.34,962500,33.34
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-17,33.72,33.88,33.32,33.46,1113300,33.46
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-13,33.29,33.63,33.05,33.46,1402600,33.46
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-20,33.76,34.18,33.41,33.51,1125500,33.51
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-11,33.01,33.56,32.91,33.52,1231500,33.52
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-12,33.58,34.08,33.41,33.61,2045500,33.61
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-19,33.77,33.85,33.13,33.71,1262200,33.71
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-12,33.36,33.86,32.94,33.73,2696500,33.73
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-22,34.74,34.83,33.68,33.76,1458800,33.76
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-13,33.82,34.1,33.44,33.89,1277500,33.89
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-14,33.81,34.06,33.52,33.96,1969600,33.96
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-19,34.03,34.96,33.91,34,2040200,34
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-10,35.2,35.86,33.96,34,6023900,34
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-09,34.32,34.33,33.7,34.03,2603300,34.03
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-19,34.35,34.84,34.04,34.09,1583800,34.09
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-14,34.25,34.59,33.5,34.19,1425200,34.19
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-15,34.48,34.5,34.04,34.23,1708200,34.23
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-18,33.49,34.52,33.1,34.27,1433200,34.27
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-16,34.33,34.51,33.97,34.31,1944100,34.31
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-25,35.02,35.25,34.36,34.41,1227600,34.41
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-18,34.87,34.95,34.09,34.43,2357300,34.43
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-20,34.24,34.69,33.86,34.53,1292300,34.53
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-25,35.24,35.62,34.49,34.62,1550300,34.62
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-26,34.89,35.01,34.15,34.73,1391300,34.73
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-21,34.96,35,34.44,34.82,965700,34.82
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-08,35.07,35.47,34.67,34.82,2436400,34.82
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-06,33.81,34.91,33.73,34.85,2208400,34.85
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-23,33.91,34.91,33.88,34.9,2001000,34.9
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-26,34.43,35.12,33.65,35.01,1821800,35.01
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-02,34.96,35.37,34.75,35.02,1372300,35.02
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-24,34.96,35.26,34.81,35.1,609800,35.1
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-24,34.9,35.42,34.66,35.14,1366300,35.14
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-04,36.13,36.26,35.17,35.2,2369400,35.2
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-07,35.25,35.54,35.16,35.36,2318800,35.36
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-05,35.68,35.93,34.17,35.44,3113400,35.44
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-11,34.33,36.01,34.33,35.55,3017400,35.55
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-29,35.5,35.76,35.2,35.65,2105800,35.65
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-28,35.7,36.11,35.51,35.66,1351400,35.66
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-09-01,35.93,36.37,35.56,35.69,1318200,35.69
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-17,36,36.22,35.59,35.72,1441500,35.72
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-10-27,34.2,36.02,34.19,35.73,2040900,35.73
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-30,35.54,35.99,35.37,35.79,1299200,35.79
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-16,36.08,36.25,35.6,35.8,1748100,35.8
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-31,36.01,36.49,35.63,35.92,1852100,35.92
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-12,35.76,36.48,35.52,35.93,2050000,35.93
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-09,33.16,36.37,32.78,35.99,5843300,35.99
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-15,36.18,36.53,35.99,36.28,1420000,36.28
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-03,36.64,36.96,35.94,36.52,1976400,36.52
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-02,37.91,38.01,36.51,36.55,2043800,36.55
Ball Corp,BLL,Materials,Broomfield,Colorado,2011-08-01,39.19,39.2,37.92,38.16,1612800,38.16
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-03,45.28,47.15,44.47,44.47,9549800,44.47
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-04,43.45,45.31,41.91,45.23,12584100,45.23
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-30,47.36,47.36,46.04,46.15,7812500,46.15
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-29,50.29,50.56,47.32,48.59,7234500,48.59
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-28,51.75,51.76,48.65,48.76,5699400,48.76
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-05,45.52,49.08,44.12,48.81,9066800,48.81
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-07,49.79,50.37,48.47,49.32,6361600,49.32
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-06,48.17,50.99,47.81,49.55,7682700,49.55
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-23,50.03,50.55,48.8,49.61,7274500,49.61
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-08,52.55,53.03,50.2,50.31,7922100,50.02
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-10,51.52,52.06,50.39,50.49,7642100,50.2
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-26,50.11,50.96,47.86,50.88,7406900,50.88
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-22,51.63,51.99,49.67,51.05,10346500,51.05
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-19,51.55,52.75,51.42,51.64,4842600,51.34
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-27,52.86,53,51.15,51.53,6156600,51.53
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-22,52.61,52.66,51.63,51.84,2967500,51.54
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-18,52.72,53.35,51.5,51.99,7238900,51.69
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-09,50.73,52.33,49.52,52.31,8925600,52.01
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-10,50.69,52.67,50.69,52.1,5599300,52.1
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-11,50.63,53.11,50.54,52.61,5853600,52.31
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-25,54.21,54.46,52.49,52.84,6501900,52.54
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-22,53.18,53.34,51.99,52.91,4602200,52.91
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-12,52.86,53.53,52.41,53.29,3262000,52.98
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-04,54.97,55.13,53.45,53.46,6883400,53.15
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-08-22,56.39,56.57,52.91,53.15,9643300,53.15
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-09,54.28,54.35,52.67,53.16,4497500,53.16
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-11,51.66,54.07,51.5,53.23,6692500,53.23
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-05,54.08,54.33,52.12,53.59,6506700,53.28
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-12,52.88,53.32,52.24,53.3,3336400,53.3
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-16,53.64,53.96,53,53.69,2973300,53.38
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-13,53.06,53.65,51.85,53.38,5094900,53.38
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-26,52.64,54,51.92,53.73,6382500,53.42
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-17,55.91,56.91,53.32,53.44,7652000,53.44
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-17,53.98,54.26,53.15,53.76,3406200,53.45
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-23,52.88,54.03,52.62,53.47,3478500,53.47
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-12,53.6,54.71,52.26,53.48,6417800,53.48
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-23,52.01,53.9,51.92,53.83,3439800,53.52
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-03,55.25,56.43,53.57,53.68,5843200,53.68
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-06,52.26,54.15,52.25,54.07,3706300,53.76
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-02,54.27,54.94,54,54.12,2991500,53.81
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-15,53.93,54.22,53.25,54.16,3450900,53.85
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-20,54.48,54.49,52.34,53.85,6769300,53.85
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-20,54.24,54.52,52.8,53.86,6540100,53.86
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-24,53.66,54.41,53.27,54.24,2624600,53.93
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-13,53.44,54.15,52.98,53.97,3966000,53.97
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-04,52.88,54.05,52.45,54,4560500,54
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-25,55.13,55.3,54.04,54.16,2178300,54.16
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-08-25,56.6,56.97,54,54.26,6734800,54.26
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-19,55.52,57.09,53.94,54.3,7788900,54.3
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-26,53.93,54.39,53.17,54.33,2158800,54.33
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-21,58.02,58.65,54.19,54.33,6952800,54.33
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-12,56.37,56.48,53.07,54.4,12982400,54.4
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-05,54.07,54.73,53.84,54.45,4514000,54.45
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-21,54.41,55.61,53.55,54.49,7861700,54.49
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-21,56.53,56.58,54.56,54.56,3470600,54.56
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-17,55.58,55.8,54.57,54.72,2941000,54.72
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-21,54.3,55.18,54.06,54.81,4058100,54.81
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-08-19,57.41,58.14,54.45,54.82,11824300,54.82
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-08,55.38,56.33,54.73,54.84,3917900,54.84
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-29,54.3,55.32,54.25,55.28,8103800,54.96
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-26,54.63,55.31,54.21,55,4907400,55
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-19,55.62,56.15,54.83,55.01,3070400,55.01
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-01,56.02,56.39,55.22,55.37,3392700,55.05
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-14,54.21,55.64,53.85,55.1,4502600,55.1
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-30,55.08,55.77,54.75,55.43,2515700,55.11
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-28,55.61,55.75,55.05,55.17,4867100,55.17
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-06,54.56,55.24,54.02,55.23,2687400,55.23
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-03,55.86,55.87,54.52,55.66,5753000,55.34
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-24,54.94,55.44,54.55,55.37,3302400,55.37
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-13,55.1,55.74,54.2,55.4,3934900,55.4
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-25,56.93,57.01,55.06,55.41,5623100,55.41
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-07,54.61,55.57,54.35,55.56,3036200,55.56
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-02,56.86,56.98,55.88,55.92,5035300,55.6
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-27,56.15,56.32,54.98,55.61,5219800,55.61
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-07,55.36,56.13,55.04,55.65,3584300,55.65
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-28,56.77,56.79,55.25,55.66,4015300,55.66
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-31,55.83,56.62,55.49,55.98,3639700,55.66
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-19,55.84,55.94,55.02,55.7,2619100,55.7
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-18,54.52,56.38,54.19,55.72,3081800,55.72
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-18,53.3,56.06,52.21,55.72,7348100,55.72
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-08-23,53.65,55.92,52.71,55.83,12374000,55.83
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-27,55.81,57.25,55.62,55.87,4591200,55.87
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-14,56.08,56.13,55.47,55.92,2476700,55.92
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-08-24,55.46,56.17,54.56,56.03,5431500,56.03
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-15,55.48,56.08,54.86,56.06,3461500,56.06
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-11,57,57.06,55.81,56.11,2151600,56.11
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-30,55.67,56.99,55.51,56.14,4741100,56.14
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-29,56.59,57.22,55.4,56.21,3482500,56.21
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-20,55.89,57.26,55.79,56.43,3428000,56.43
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-26,56.18,56.95,54.8,56.48,6048400,56.48
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-24,54.79,56.61,54.79,56.51,4569200,56.51
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-08-26,53.27,56.81,53.16,56.59,7048700,56.59
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-09-16,56.32,56.71,55.98,56.67,4362100,56.67
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-10-14,54.37,56.71,54.17,56.67,6323300,56.67
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-09,58.31,58.43,56.14,56.79,5906300,56.79
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-08-01,58.46,58.64,56.65,57.21,4727100,56.88
Baxter International Inc.,BAX,Health Care,Deerfield,Illinois,2011-10-10,56.4,57.29,56.4,57.05,2466800,57.05
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-06,55.53,57.74,55.09,57.56,5156500,57.56
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-08-08,61.6,63.26,57.3,57.58,12113000,57.58
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-12,55.64,57.77,55.45,57.7,5383200,57.7
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-19,57.64,58.35,56.56,57.73,3739400,57.73
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-13,57.85,58.15,56.31,57.76,4790700,57.76
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-20,58.23,60.17,57.66,57.87,5793600,57.87
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-14,57.76,58.75,55.66,58,6464900,58
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-09-02,57.53,58.95,57.35,58.27,5782400,58.27
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-08-18,61.83,61.89,57.55,58.28,9696200,58.28
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-08-10,59.55,60.89,57.87,58.59,9778000,58.59
Baker Hughes Inc,BHI,Energy,Houston,Texas,2011-08-29,57.62,58.85,57.19,58.79,4613700,58.79
